deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12
0.645,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6475,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.65,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6525,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.655,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6575,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.66,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6625,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.665,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6675,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.67,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6725,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.675,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6775,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.68,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6825,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.685,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6875,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.69,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6925,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.695,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6975,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.7,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.7025,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.705,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.7075,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.71,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7125,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.715,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7175,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.72,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7225,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.725,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7275,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.73,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7325,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.735,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7375,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.74,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7425,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.745,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7475,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.75,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7525,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.755,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7575,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.76,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7625,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.765,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7675,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.77,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7725,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.775,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7775,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.78,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7825,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.785,240.28627,243.20692,243.541,237.92,236.52298,233.8647,243.39,239.48178
0.7875,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.79,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.7925,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.795,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.7975,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.8,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.8025,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.805,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.8075,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.81,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.8125,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.815,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
0.8175,240.28627,243.20692,243.541,237.62999,236.52298,233.8647,242.72,239.48178
