deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0.49,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.184117,-35.60486
0.4925,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.181711,-35.604184
0.495,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.179304,-35.603507
0.4975,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.176897,-35.602831
0.5,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.17449,-35.602154
0.5025,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.172084,-35.601478
0.505,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.169677,-35.600801
0.5075,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.16727,-35.600125
0.51,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.164863,-35.599448
0.5125,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.162457,-35.598772
0.515,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.16005,-35.598095
0.5175,228.16559,227.58054,232.86923,234.18999,223.6743,217.89532,239.34999,226.12923,-60.157643,-35.597419
0.52,228.16559,227.58054,232.86923,234.18999,223.6743,217.89532,239.34999,226.12923,-60.155237,-35.596742
0.5225,228.16559,227.58054,232.86923,234.18999,223.6743,217.89532,239.34999,226.12923,-60.15283,-35.596065
0.525,228.16559,227.58054,232.86923,234.18999,223.6743,217.89532,239.34999,226.12923,-60.150423,-35.595389
0.5275,228.16559,227.58054,232.86923,234.18999,223.6743,217.89532,239.34999,226.12923,-60.148016,-35.594712
0.53,228.16559,227.58054,232.86923,234.18999,223.6743,217.89532,239.34999,226.12923,-60.14561,-35.594036
0.5325,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.143203,-35.593359
0.535,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.140796,-35.592683
0.5375,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.13839,-35.592006
0.54,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.135983,-35.59133
0.5425,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.133576,-35.590653
0.545,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.131169,-35.589977
0.5475,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.128763,-35.5893
0.55,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.126356,-35.588624
0.5525,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.123949,-35.587947
0.555,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.121542,-35.587271
0.5575,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.119136,-35.586594
0.56,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.116729,-35.585918
0.5625,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.114322,-35.585241
0.565,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.111916,-35.584565
0.5675,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.109509,-35.583888
0.57,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.107102,-35.583211
0.5725,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.104695,-35.582535
0.575,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.102289,-35.581858
0.5775,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.099882,-35.581182
0.58,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.097475,-35.580505
0.5825,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.095069,-35.579829
0.585,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.092662,-35.579152
0.5875,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.090255,-35.578476
0.59,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.087848,-35.577799
0.5925,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.085442,-35.577123
0.595,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.083035,-35.576446
0.5975,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.080628,-35.57577
0.6,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.078221,-35.575093
0.6025,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.075815,-35.574417
0.605,228.16559,227.58054,232.86923,230.09,223.6743,217.89532,234.36,226.12923,-60.073408,-35.57374
