"fid,N,10,0","c_Degrees,N,24,15",xcoord,ycoord,EM_h_K_12,EM_h_K_25,EM_h_KA_25,EM_h_KA_125,NSIDC_F17_37HA,NSIDC_F17_19HD,NSIDC_F16_19HA,NSIDC_F16_37HA,NSIDC_F16_19HD,NSIDC_F16_37HD,NSIDC_F17_19HA,NSIDC_F15_19HD
0.00000,0.34250,-60.43261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.34500,-60.43011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.34750,-60.42761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.35000,-60.42511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.35250,-60.42261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.35500,-60.42011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.35750,-60.41761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.36000,-60.41511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.36250,-60.41261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.36500,-60.41011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.36750,-60.40761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.37000,-60.40511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.37250,-60.40261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.37500,-60.40011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.37750,-60.39761,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.38000,-60.39511,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.38250,-60.39261,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.38500,-60.39011,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.38750,-60.38761,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.39000,-60.38511,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.39250,-60.38261,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.39500,-60.38011,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
0.00000,0.39750,-60.37761,-37.27456,262.82788,259.27850,258.17883,259.43109,263.07001,257.22998,260.91998,262.69998,257.26999,256.66000,261.48999,260.25000
